id,name,topics,n_star,n_fork,languages,p_lang
r_286,gebi/jungerl,[],103,37,"['l_7', 'l_6', 'l_2', 'l_25', 'l_12', 'l_51', 'l_4', 'l_11', 'l_5', 'l_52', 'l_15', 'l_8', 'l_1', 'l_13', 'l_9', 'l_14']","['52.82', '28.04', '8.09', '4.74', '1.80', '0.89', '0.79', '0.71', '0.67', '0.54', '0.53', '0.16', '0.08', '0.05', '0.04', '0.04']"
r_287,dag/warp,[],4,1,[],[]
r_288,fabiokung/jetty-rails,[],66,15,"['l_0', 'l_1']","['59.53', '40.47']"
r_289,akapadia/nymble,[],3,0,"['l_6', 'l_0', 'l_1', 'l_9', 'l_4']","['67.30', '20.61', '7.58', '2.28', '2.24']"
r_290,rsanheim/brain_buster,[],60,16,"['l_0', 'l_14']","['99.01', '0.99']"
r_291,praxedis/grandemesa,[],3,0,[],[]
r_292,hubris/stargraphics,[],2,1,['l_9'],['100.00']
r_293,yannlugrin/tserver,[],2,0,['l_0'],['100.00']
r_294,assaf/archive-2005,[],10,0,"['l_0', 'l_1', 'l_3']","['79.54', '11.67', '8.80']"
r_295,treybean/autofilter,[],3,1,['l_1'],['100.00']
r_296,bougyman/emash,[],3,0,['l_0'],['100.00']
r_297,codafoo/signal-wiki,[],7,0,"['l_0', 'l_1']","['72.99', '27.01']"
r_298,philsmirnov/metajunk,[],2,0,[],[]
r_299,pilt/stream-server,[],17,6,"['l_9', 'l_8', 'l_6']","['79.81', '18.30', '1.89']"
r_300,tedkulp/bossogg,[],4,0,"['l_8', 'l_6', 'l_9', 'l_10', 'l_4']","['68.27', '29.37', '1.16', '1.12', '0.08']"
r_301,Dunkelschorsch/plugboard,[],4,0,['l_9'],['100.00']
r_302,bikerduweb/or_target_blank,[],3,0,['l_3'],['100.00']
r_303,lak/puppet-ruby,[],7,5,['l_27'],['100.00']
r_304,r38y/ck_fu,[],63,5,['l_0'],['100.00']
r_305,taf2/rb-brill-tagger,[],47,6,"['l_6', 'l_0', 'l_1', 'l_9']","['42.64', '38.18', '12.77', '6.41']"
r_306,karl/monket-calendar,[],6,3,"['l_3', 'l_1']","['53.33', '46.67']"
r_307,matthewjcarlson/acts_as_chimp,[],30,2,['l_0'],['100.00']
r_308,sgala/gajim,[],13,8,"['l_8', 'l_6', 'l_18', 'l_26', 'l_4']","['96.79', '2.50', '0.59', '0.08', '0.04']"
r_309,phpwax/phpwax,[],13,2,"['l_3', 'l_2']","['98.32', '1.68']"
r_310,toretore/barby,[],819,164,['l_0'],['100.00']
r_311,dxoigmn/baffle,[],3,1,['l_0'],['100.00']
r_312,ruby-git/ruby-git,[],1675,515,"['l_0', 'l_4', 'l_10', 'l_31']","['87.01', '11.81', '1.08', '0.11']"
r_313,toretore/acts_as_file,[],5,0,['l_0'],['100.00']
r_314,jezdez/django-mobileadmin,[],117,13,"['l_8', 'l_1']","['71.54', '28.46']"
r_315,halfbyte/akut-webpage,[],3,1,['l_4'],['100.00']
r_316,jasondew/learnstat,[],2,2,"['l_0', 'l_1']","['93.29', '6.71']"
r_317,abossenbroek/caosde,[],4,1,"['l_18', 'l_6']","['78.58', '21.42']"
r_318,TekNoLogic/Panda,[],22,17,['l_24'],['100.00']
r_319,drnic/newgem,[],122,22,"['l_0', 'l_1']","['61.76', '38.24']"
r_320,timburks/nuyaml,[],7,8,"['l_6', 'l_18', 'l_36']","['85.85', '10.08', '4.07']"
r_321,lifedraft/dhonishow,[],7,2,['l_1'],['100.00']
r_322,AndrewO/rubycas-client,[],8,3,['l_0'],['100.00']
r_323,foca/foca.github.io,[],4,0,"['l_14', 'l_2']","['61.84', '38.16']"
r_324,zimbatm/facts,[],4,0,"['l_0', 'l_6']","['85.83', '14.17']"
r_325,CodeMonkeySteve/libfinagle,[],3,1,"['l_9', 'l_0', 'l_4']","['99.76', '0.18', '0.06']"
r_326,usergenic/entrails,[],11,3,['l_0'],['100.00']
r_327,bfintl/missionsbridge,[],4,1,"['l_0', 'l_1']","['97.47', '2.53']"
r_328,wayneeseguin/merblogger,[],18,5,"['l_1', 'l_0']","['84.46', '15.54']"
r_329,jcfischer/restful-authentication,[],3,0,['l_0'],['100.00']
r_330,gma/god,[],1,1,"['l_0', 'l_6', 'l_1']","['91.92', '4.61', '3.48']"
r_331,jwhitmire/llor-nu-legacy,[],13,5,"['l_0', 'l_1']","['64.91', '35.09']"
r_332,technoweenie/active_record_context,[],4,7,['l_0'],['100.00']
r_333,dustin/py-github,[],162,33,['l_8'],['100.00']
r_334,TekNoLogic/Engravings,[],9,3,['l_24'],['100.00']
r_335,arunthampi/activecouch,[],105,7,['l_0'],['100.00']
r_336,bmaland/file2url,[],4,0,"['l_3', 'l_12', 'l_4']","['99.98', '0.01', '0.01']"
r_337,ihao/ihao,[],3,1,[],[]
r_338,mhennemeyer/stepspecr,[],6,3,['l_0'],['100.00']
r_339,alsemyonov/rotuka-rails-extender,[],3,1,['l_0'],['100.00']
r_340,sferik/twitter,[],4462,1272,['l_0'],['100.00']
r_341,jmay/pipeline,[],3,1,"['l_0', 'l_10', 'l_4', 'l_8']","['51.38', '40.92', '4.64', '3.06']"
r_342,mfb/vozmob,[],13,6,"['l_3', 'l_1', 'l_53', 'l_4', 'l_10', 'l_50']","['81.72', '18.00', '0.22', '0.03', '0.02', '0.01']"
r_343,Lasanha/dialeteitor,[],4,0,['l_6'],['100.00']
r_344,mattetti/globalite,[],60,8,['l_0'],['100.00']
r_345,joshsusser/validates_existence,[],33,7,['l_0'],['100.00']
r_346,dausech/misc,[],3,0,"['l_54', 'l_8']","['99.91', '0.09']"
r_347,jmckible/corkboard,[],3,0,[],[]
r_348,ianwhite/inherit_views,[],30,5,['l_0'],['100.00']
r_349,adelcambre/rubyurl,[],4,1,"['l_0', 'l_1']","['95.04', '4.96']"
r_350,mitsuhiko/twig,[],36,3,['l_3'],['100.00']
r_351,gmallard/submodule-workflows,[],5,0,"['l_4', 'l_2', 'l_14']","['81.82', '12.78', '5.40']"
r_352,kad3nce/swxruby,[],12,2,['l_0'],['100.00']
r_353,btakita/screw-unit,[],5,0,['l_1'],['100.00']
r_354,IceskYsl/1stlog,[],4,1,"['l_1', 'l_0', 'l_4', 'l_3']","['49.96', '42.86', '5.85', '1.32']"
r_355,bruce/keyword_search,[],99,23,"['l_0', 'l_55']","['97.27', '2.73']"
r_356,vin/challenge,[],3,1,"['l_38', 'l_8', 'l_4']","['78.63', '21.10', '0.27']"
r_357,lucashungaro/reserved_attributes,[],5,2,['l_0'],['100.00']
r_358,kastner/band-named,[],4,1,['l_0'],['100.00']
r_359,carlosbrando/custom_resource_name,[],24,1,['l_0'],['100.00']
r_360,ab5tract/chewy,[],3,0,['l_0'],['100.00']
r_361,binnyva/apiextractor,[],2,0,"['l_3', 'l_1']","['98.86', '1.14']"
r_362,vaanisharma/teh,[],2,0,"['l_8', 'l_1']","['89.46', '10.54']"
r_363,bscofield/movielist,[],3,1,"['l_0', 'l_3', 'l_1']","['39.97', '37.22', '22.81']"
r_364,pieter/gnuplot-textmate-bundle,[],5,1,['l_0'],['100.00']
r_365,paulsmith/templatemaker,[],61,18,"['l_8', 'l_6']","['55.84', '44.16']"
r_366,dmarkow/slimtimer4r,[],7,1,['l_0'],['100.00']
r_367,joshuamiller/flotilla,[],58,9,"['l_1', 'l_0']","['92.58', '7.42']"
r_368,tekkub/wow-ui-source,[],309,133,"['l_24', 'l_4']","['99.98', '0.02']"
r_369,alex/django-plugins,[],28,8,['l_8'],['100.00']
r_370,mikE83/ligafut,[],3,0,"['l_0', 'l_1']","['72.80', '27.20']"
r_371,cout/ruby-internal,[],56,3,"['l_6', 'l_0', 'l_9', 'l_4']","['93.50', '3.84', '2.64', '0.02']"
r_372,mikaelvik/tillsammans,[],3,0,"['l_0', 'l_1', 'l_50']","['54.70', '43.68', '1.62']"
r_373,timburks/nutcl,[],6,2,"['l_18', 'l_36']","['67.14', '32.86']"
r_374,defunkt/starling,[],72,10,['l_0'],['100.00']
r_375,dustin/memcached-test,[],21,5,['l_8'],['100.00']
r_376,cbowns/cpu-history,[],22,7,['l_18'],['100.00']
r_377,jezdez/virtualmin-moinmoin,[],2,0,['l_10'],['100.00']
r_378,alexs/salva-old,[],7,4,"['l_0', 'l_1', 'l_10']","['72.93', '26.35', '0.72']"
r_379,xenoterracide/notes,[],3,1,['l_56'],['100.00']
r_380,nicksieger/attachment_fu,[],3,0,['l_0'],['100.00']
r_381,stan/how-to,[],3,2,['l_0'],['100.00']
r_382,davemerwin/blue-channel,[],41,6,['l_8'],['100.00']
r_383,kerryb/rspec-example,[],13,2,['l_0'],['100.00']
r_384,keita/ruby-dvi,[],3,0,['l_0'],['100.00']
r_385,brennandunn/configurator,[],20,3,['l_0'],['100.00']
r_386,mattetti/googlecharts,[],700,111,['l_0'],['100.00']
r_387,sur/auto_tags_rails,[],3,0,[],[]
r_388,robmckinnon/pottery,[],5,1,['l_0'],['100.00']
r_389,RyanSpeaking/t-ch-y,[],3,0,[],[]
r_390,tslocke/hobo,[],243,94,"['l_0', 'l_1', 'l_4', 'l_10']","['86.56', '12.81', '0.32', '0.31']"
r_391,zmalltalker/dry-report,[],3,1,"['l_0', 'l_1']","['98.59', '1.41']"
r_392,vic/lispy,[],9,1,"['l_0', 'l_6']","['51.28', '48.72']"
r_393,jorrel/sp,[],3,0,"['l_0', 'l_1']","['98.98', '1.02']"
r_394,annalissac/socnet,[],3,0,[],[]
r_395,hb/claws-mail-sync,[],5,3,['l_6'],['100.00']
r_396,ask/roleplay,[],5,6,"['l_8', 'l_4']","['99.73', '0.27']"
r_397,lilyball/decafbland-limechat,[],3,4,[],[]
r_398,technicalpickles/ambitious-sphinx,[],15,5,['l_0'],['100.00']
r_399,bisho/wsdl-gen-for-php,[],5,0,[],[]
r_400,haraldmartin/prototype,[],3,2,"['l_1', 'l_0']","['93.52', '6.48']"
r_401,saimonmoore/restful_acl,[],3,0,['l_0'],['100.00']
r_402,farktronix/frontprocesscheckr,[],3,1,"['l_18', 'l_6']","['81.56', '18.44']"
r_403,schmidt/contextr,"['hacktoberfest', 'ruby']",12,6,"['l_0', 'l_1', 'l_2', 'l_14']","['54.90', '30.89', '11.29', '2.91']"
r_404,gilpa/gilpa_test,[],3,1,[],[]
r_405,spohlenz/itunes_link_maker,[],14,2,['l_0'],['100.00']
r_406,netshade/toys,[],4,2,"['l_9', 'l_0', 'l_4']","['51.26', '40.87', '7.87']"
r_407,kastner/twitter-bot,[],26,3,['l_0'],['100.00']
r_408,jeremyf/rspec-custom-matchers,[],8,1,['l_0'],['100.00']
r_409,aiqbal/acamedia,[],2,1,"['l_0', 'l_1']","['98.71', '1.29']"
r_410,davemerwin/satchmo,[],12,3,['l_8'],['100.00']
r_411,Ramarren/png-read,[],25,8,['l_5'],['100.00']
r_412,newtonapple/rails-development-log-analyzer,[],37,4,['l_0'],['100.00']
r_413,boof/not-naughty,[],10,1,['l_0'],['100.00']
r_414,samaaron/book_mdar,[],3,11,['l_0'],['100.00']
r_415,nickstenning/recurring_event,[],26,1,['l_0'],['100.00']
r_416,lorenjohnson/restful_workflow,[],2,0,['l_0'],['100.00']
r_417,haberman/fast-recs-collate,[],10,4,['l_6'],['100.00']
r_418,rabble/icalico,[],16,2,['l_0'],['100.00']
r_419,tomtt/emacs-rails,[],65,47,['l_12'],['100.00']
r_420,egoens/core-blog,[],3,0,[],[]
r_421,aseever/pci4r,[],2,0,['l_0'],['100.00']
r_422,brynary/rspec,[],8,2,['l_0'],['100.00']
r_423,mojombo/chronic,[],3183,459,['l_0'],['100.00']
r_424,pkordel/oss_analyzer,[],3,0,"['l_0', 'l_1']","['99.78', '0.22']"
r_425,thoughtbot/when,[],12,1,['l_0'],['100.00']
r_426,timcharper/railswhere,[],16,1,['l_0'],['100.00']
r_427,clemency/dots,[],2,0,"['l_12', 'l_9', 'l_28', 'l_6', 'l_4', 'l_13']","['99.57', '0.19', '0.16', '0.05', '0.02', '0.00']"
r_428,osteele/openlaszlo-json,"['json', 'open-laszlo']",5,2,['l_1'],['100.00']
r_429,mattetti/ar-backup,[],13,3,['l_0'],['100.00']
r_430,sprsquish/crypt--xxtea,[],10,4,['l_0'],['100.00']
r_431,kch/railz_scout,[],5,2,['l_0'],['100.00']
r_432,fdb/nodebox-cpp,[],10,1,"['l_4', 'l_9', 'l_18', 'l_8']","['49.68', '31.38', '18.79', '0.16']"
r_433,keita/kanpou-watcher,[],3,0,['l_0'],['100.00']
r_434,lachlanhardy/piccr,[],3,0,"['l_0', 'l_1']","['99.40', '0.60']"
r_435,maddox/quicktime_helper,[],5,2,"['l_1', 'l_0']","['76.00', '24.00']"
r_436,imkite/rspec-rails,[],2,0,['l_0'],['100.00']
r_437,collectiveidea/graticule,[],300,59,"['l_0', 'l_2', 'l_14']","['90.20', '8.86', '0.95']"
r_438,Imbrondir/majocontrol,[],3,3,['l_13'],['100.00']
r_439,rgrove/thoth,[],67,10,"['l_0', 'l_2', 'l_1', 'l_14']","['71.57', '14.53', '7.87', '6.03']"
r_440,jaehess/powncer,[],3,3,['l_0'],['100.00']
r_441,dustin/memcached,[],124,5,"['l_6', 'l_10', 'l_57', 'l_58', 'l_4']","['70.88', '25.54', '1.85', '1.00', '0.73']"
r_442,cjmartin/pvarchive,[],4,1,['l_0'],['100.00']
r_443,deepakjois/gchartrb,[],103,20,['l_0'],['100.00']
r_444,mlandauer/earth,[],14,14,"['l_0', 'l_14', 'l_10', 'l_1']","['94.66', '5.05', '0.25', '0.04']"
r_445,virtuoso/koowaldah,[],10,2,"['l_6', 'l_4']","['99.46', '0.54']"
r_446,prometheusxx/demokratia,[],3,0,[],[]
r_447,universal/ownpastie,[],5,0,"['l_0', 'l_1']","['97.25', '2.75']"
r_448,fightinjoe/mex,[],7,0,"['l_1', 'l_0']","['69.08', '30.92']"
r_449,wayneeseguin/autozest,[],7,3,['l_0'],['100.00']
r_450,mattetti/attachment_fu,[],3,0,['l_0'],['100.00']
r_451,bjeanes/tipi,[],3,0,"['l_0', 'l_18']","['93.86', '6.14']"
r_452,zpinter/interlock,[],3,1,"['l_0', 'l_1']","['99.73', '0.27']"
r_453,wfarr/rcirc-notify-el,[],7,3,['l_12'],['100.00']
r_454,mhartl/insoshi,[],11,2,"['l_0', 'l_1']","['99.94', '0.06']"
r_455,jlsync/jlsync,[],3,0,"['l_0', 'l_10', 'l_28']","['77.71', '22.07', '0.22']"
r_456,randomutterings/page_redirect,[],7,1,['l_0'],['100.00']
r_457,bottlecaplabs/gels,[],6,2,"['l_0', 'l_1']","['73.19', '26.81']"
r_458,drnic/rubigen,[],75,19,['l_0'],['100.00']
r_459,dfischer/gruff,[],3,0,['l_0'],['100.00']
r_460,standout/s3storage,"['s3', 'rails-plugin']",15,0,['l_0'],['100.00']
r_461,defunkt/barefootexamples,[],6,5,"['l_0', 'l_4']","['71.53', '28.47']"
r_462,dfischer/transparent-fisch,[],12,0,[],[]
r_463,Ramarren/cl-symbolic-math,[],8,5,['l_5'],['100.00']
r_464,asahopkins/ocmanager,[],6,0,"['l_0', 'l_1']","['91.70', '8.30']"
r_465,pjay/mediabumper,[],6,3,"['l_0', 'l_1']","['83.80', '16.20']"
r_466,jm/seed,[],9,1,['l_0'],['100.00']
r_467,ryanb/static_actions,[],39,1,['l_0'],['100.00']
r_468,infil00p/wifidog---freethenet-client,[],7,6,"['l_6', 'l_4']","['99.38', '0.62']"
r_469,jmckible/mckible-com,[],5,2,"['l_2', 'l_14', 'l_1']","['91.05', '5.72', '3.23']"
r_470,drone-rites/satori,[],4,0,['l_9'],['100.00']
r_471,oliver/tangoclawsextended,[],3,2,['l_10'],['100.00']
r_472,hank/life,[],18,12,"['l_3', 'l_2', 'l_1', 'l_4', 'l_8', 'l_9', 'l_14', 'l_6', 'l_0', 'l_43', 'l_49', 'l_11', 'l_58', 'l_59', 'l_7', 'l_60', 'l_13', 'l_18', 'l_50', 'l_61', 'l_25', 'l_62', 'l_63', 'l_64', 'l_41', 'l_38']","['33.20', '28.04', '12.05', '10.00', '7.28', '3.41', '1.62', '1.62', '0.86', '0.75', '0.50', '0.18', '0.15', '0.09', '0.07', '0.03', '0.03', '0.02', '0.02', '0.02', '0.02', '0.02', '0.01', '0.00', '0.00', '0.00']"
r_473,wayneeseguin/merb-core,[],6,0,"['l_0', 'l_1']","['97.21', '2.79']"
r_474,easytiger/jquoteticker,[],3,3,['l_13'],['100.00']
r_475,jnewland/github-campfire,[],33,13,['l_0'],['100.00']
r_476,smtlaissezfaire/emacs-lisp-experiments,[],4,0,['l_12'],['100.00']
r_477,kig/metadata,[],83,13,"['l_0', 'l_10']","['98.98', '1.02']"
r_478,dustin/noelani,[],7,1,"['l_0', 'l_1']","['99.69', '0.31']"
r_479,jamis/net-ssh-gateway,[],22,30,['l_0'],['100.00']
r_480,kerryb/jquery_spike,[],3,2,"['l_1', 'l_0']","['76.65', '23.35']"
r_481,jasonm/bricklet-core,[],3,0,[],[]
r_482,toastdriven/euler,[],3,1,['l_8'],['100.00']
r_483,halorgium/treetop,[],6,2,['l_0'],['100.00']
r_484,rowland/fb_adapter,[],25,3,['l_0'],['100.00']
r_485,pkordel/backgrounder,[],5,0,"['l_0', 'l_1']","['99.28', '0.72']"
r_486,booch/rails-base,[],10,3,"['l_0', 'l_1']","['99.81', '0.19']"
r_487,cnk/restful-authentication,[],3,1,['l_0'],['100.00']
r_488,dramatis/dramatis,[],30,3,"['l_0', 'l_8', 'l_7']","['51.65', '42.26', '6.09']"
r_489,mudge/python-delicious,[],23,24,['l_8'],['100.00']
r_490,purcell/gemdocindex,[],3,0,[],[]
r_491,pyrat/faq_u,[],8,0,['l_0'],['100.00']
r_492,DrMark/rubyamp-cheatsheet,[],7,0,[],[]
r_493,rmanalan/restful-authentication,[],3,0,['l_0'],['100.00']
r_494,engineyard/eycap,[],116,53,['l_0'],['100.00']
r_495,halfbyte/jslogo,[],5,2,[],[]
r_496,jedbrown/spectral-petsc,[],5,3,"['l_9', 'l_6', 'l_4']","['73.70', '26.05', '0.24']"
r_497,jmhodges/rchardet,[],189,57,['l_0'],['100.00']
r_498,poor666/ruby-on-rails-tmbundle,[],3,0,"['l_0', 'l_1']","['82.60', '17.40']"
r_499,tnt4brain/samba3-howto-russian,[],4,1,[],[]
r_500,Norgg/rubynomic,[],5,2,['l_0'],['100.00']
r_501,patmaddox/string-expand_path,[],3,0,"['l_0', 'l_1']","['61.50', '38.50']"
r_502,atmos/fitter_happier,[],8,5,['l_0'],['100.00']
r_503,caius/source-collection,[],2,0,"['l_0', 'l_3']","['78.64', '21.36']"
r_504,ruphy/skema,[],3,1,"['l_0', 'l_1', 'l_9']","['60.75', '35.41', '3.84']"
r_505,patmaddox/instance_validations,[],5,2,['l_0'],['100.00']
r_506,Yves-xx/dss,[],3,1,"['l_9', 'l_10', 'l_6', 'l_18', 'l_1', 'l_4']","['81.75', '10.04', '7.19', '0.49', '0.49', '0.03']"
r_507,Gregg/barcamporlando-scheduler,[],4,1,"['l_0', 'l_1']","['99.30', '0.70']"
r_508,gaustin/web-rb,[],6,1,['l_0'],['100.00']
r_509,lukemelia/gchart,[],2,0,['l_0'],['100.00']
r_510,lancecarlson/kissgen,[],6,2,['l_0'],['100.00']
r_511,keita/ruby-weatherhacks,[],3,1,['l_0'],['100.00']
r_512,be9/brake,[],5,1,"['l_0', 'l_6']","['99.53', '0.47']"
r_513,relevance/cap_gun,[],117,27,['l_0'],['100.00']
r_514,jmckible/uncorked,[],3,0,['l_3'],['100.00']
r_515,mully/redmine_google_calendar,[],26,16,['l_0'],['100.00']
r_516,ruphy/plasma-theme-tester,[],3,2,['l_9'],['100.00']
r_517,halorgium/admin_tasks,[],4,2,['l_0'],['100.00']
r_518,tiegz/shoes-textmate-bundle,[],9,0,[],[]
r_519,jmhodges/rfeedparser,[],56,14,['l_0'],['100.00']
r_520,vanpelt/merb-plugins,[],3,1,['l_0'],['100.00']
r_521,shadowmaru/cd-covers,[],7,1,"['l_0', 'l_1']","['99.74', '0.26']"
r_522,osteele/collections-js,"['javascript', 'obsolete']",32,3,"['l_1', 'l_0']","['99.48', '0.52']"
r_523,jeremyevans/simple_ldap_authenticator,[],30,6,['l_0'],['100.00']
r_524,archaelus/erlirc,[],64,15,"['l_7', 'l_10', 'l_11', 'l_4']","['83.06', '16.02', '0.68', '0.24']"
r_525,myabc/portfolio-theme,[],3,1,[],[]
r_526,chilts/libawssum-perl,[],6,2,['l_10'],['100.00']
r_527,ctran/annotate_models,"['ruby', 'rails', 'activerecord']",4130,562,['l_0'],['100.00']
r_528,technicalpickles/feedbarn,[],5,2,['l_0'],['100.00']
r_529,matthanlon/playground,[],2,0,[],[]
r_530,jnewland/boolean_web_service,[],4,1,['l_0'],['100.00']
r_531,jnewland/fireeagle,[],39,13,['l_0'],['100.00']
r_532,gnu-lorien/crack-attack,[],16,7,"['l_9', 'l_6', 'l_4']","['80.00', '19.69', '0.31']"
r_533,dfischer/fischyfriends,[],43,3,['l_0'],['100.00']
r_534,jonbro/jonbro_snippets,[],3,0,['l_6'],['100.00']
r_535,ianwhite/nested_has_many_through,[],143,25,['l_0'],['100.00']
r_536,cainlevy/semantic-attributes,[],23,9,['l_0'],['100.00']
r_537,rubaidh/inheritable_routing,[],2,1,['l_0'],['100.00']
r_538,bronson/--hobostarter,[],5,1,"['l_1', 'l_0']","['77.53', '22.47']"
r_539,jimweirich/emacs-starter-kit,[],29,4,['l_12'],['100.00']
r_540,ELLIOTTCABLE/System,[],27,7,"['l_28', 'l_4', 'l_24', 'l_65', 'l_10', 'l_0', 'l_66', 'l_67', 'l_1', 'l_14', 'l_68', 'l_19', 'l_69']","['34.09', '21.09', '16.12', '11.57', '8.81', '2.78', '2.27', '0.98', '0.88', '0.64', '0.42', '0.27', '0.08']"
r_541,delynn/userstamp,[],191,199,"['l_2', 'l_0', 'l_14']","['65.12', '30.12', '4.77']"
r_542,dustin/money,[],6,1,"['l_0', 'l_1']","['97.26', '2.74']"
r_543,jamiew/white-glove-tracking,[],5,2,['l_1'],['100.00']
r_544,veader/rails,[],3,0,"['l_0', 'l_1']","['98.98', '1.02']"
r_545,defunkt/fixture_scenarios_builder,[],14,6,['l_0'],['100.00']
r_546,francois/mor7-google-charts-demo,[],6,2,"['l_0', 'l_1']","['99.08', '0.92']"
r_547,dharding/rails,[],3,0,"['l_0', 'l_1', 'l_4']","['99.99', '0.00', '0.00']"
r_548,andrzejkrzywda/attribute_fu,[],3,0,['l_0'],['100.00']
r_549,ianwhite/rspec-rails,[],4,0,['l_0'],['100.00']
r_550,gotascii/hurl,[],11,0,['l_0'],['100.00']
r_551,vaanisharma/musicmania,[],3,0,[],[]
r_552,mojombo/fixture-scenarios,[],17,16,['l_0'],['100.00']
r_553,urandom/iwl,[],9,0,"['l_10', 'l_1', 'l_14']","['60.63', '36.08', '3.28']"
r_554,jcrosby/endpointr,[],21,2,['l_18'],['100.00']
r_555,mtodd/halcyon,[],63,9,"['l_0', 'l_1']","['99.10', '0.90']"
r_556,eric/sevenscale-scout-plugins,[],6,0,['l_0'],['100.00']
r_557,simb/flexrestauth,[],6,0,"['l_1', 'l_0']","['50.83', '49.17']"
r_558,oliver/wikiorg,[],4,0,"['l_10', 'l_8']","['70.98', '29.02']"
r_559,mojodna/fireeagle-tutorial,[],8,4,"['l_8', 'l_0']","['93.75', '6.25']"
r_560,lowlee/tourguide,[],2,0,['l_24'],['100.00']
r_561,jasonroelofs/rbgccxml,[],33,7,"['l_0', 'l_9']","['91.44', '8.56']"
r_562,glasswing28/lovd-by-less,[],2,0,"['l_0', 'l_1']","['66.96', '33.04']"
r_563,pepe/scripts,[],7,2,"['l_8', 'l_28', 'l_4', 'l_0']","['86.73', '10.19', '2.82', '0.26']"
r_564,zachinglis/magic_enums,[],7,0,['l_0'],['100.00']
r_565,clempro/grimper,[],3,0,[],[]
r_566,hornbeck/blerb-core,[],28,5,"['l_0', 'l_1', 'l_3']","['49.87', '49.62', '0.51']"
r_567,afareg/baby,[],3,0,[],[]
r_568,sgala/roundup,[],4,3,"['l_8', 'l_1']","['99.81', '0.19']"
